,Rank,Company,Revenues  ($ millions),Profits  ($ millions),Year
74,375,Pacolet Industries,158.8,4.7,1966
75,376,Rohr,158.7,4.8,1966
76,377,General Host,156.1,-3.3,1966
77,378,Pennwalt Corp,155.7,10.4,1966
78,379,Houdaille Industries,155.6,7.2,1966
79,380,U.S. Pipe & Foundry,154.4,7.6,1966
80,381,FINA,153.7,4.6,1966
81,382,Keystone Consolidated Industries,153.4,7.7,1966
82,383,Jonathan Logan,153.4,7.9,1966
83,384,National Can,153.3,5.0,1966
84,385,Ampex,152.7,7.7,1966
85,386,Ruberoid,151.2,6.0,1966
86,387,Falstaff Brewing,151.0,5.5,1966
87,388,Stewart-Warner,150.4,11.2,1966
88,389,Universal American,149.7,6.8,1966
89,390,Safety-Kleen,149.7,3.8,1966
90,391,Joy Technologies,149.4,10.8,1966
91,392,I-T-E Imperial,149.1,6.8,1966
92,393,Standard Packaging,148.6,-1.2,1966
93,394,Cessna Aircraft,148.4,11.0,1966
94,395,Curtiss-Wright,148.3,8.8,1966
95,396,Hanna Mining,148.2,16.5,1966
96,397,Allied Mills,148.0,3.1,1966
97,398,Armstrong Rubber,147.0,5.4,1966
98,399,Koehring,147.0,8.2,1966
99,400,Vulcan Materials,146.2,11.1,1966
0,401,Witco,146.0,6.3,1966
1,402,Consolidated Cigar,144.5,11.5,1966
2,403,Arvin Industries,143.0,5.5,1966
3,404,New York Times,140.5,7.0,1966
4,405,Rexnord,139.5,8.0,1966
5,406,Ideal Basic Industries,139.0,16.9,1966
6,407,Inland Container,138.7,8.8,1966
7,408,Chesebrough-Pond's,138.6,11.0,1966
8,409,Western Publishing Group,137.8,6.9,1966
9,410,Keebler,137.8,2.0,1966
10,411,Miles Laboratories,137.6,8.1,1966
11,412,Lukens Steel,137.5,8.5,1966
12,413,Riegel Paper,136.9,7.6,1966
13,414,Cowles Communications,136.6,5.0,1966
14,415,St. Joseph Lead,136.2,22.8,1966
15,416,Kellwood,136.1,3.4,1966
16,417,Premcor,136.0,8.6,1966
17,418,Rheem Manufacturing,136.0,6.9,1966
18,419,Calumet & Hecia,135.6,4.2,1966
19,420,Grolier,135.3,9.3,1966
20,421,Apogent Technologies,133.8,8.0,1966
21,422,Woodward Iron,133.7,10.2,1966
22,423,Maremont,133.4,4.6,1966
23,424,Warnaco Group,132.8,5.2,1966
24,425,KVP Sutherland Paper,132.5,3.2,1966
25,426,Copperweld Steel,132.2,6.1,1966
26,427,Champion Spark Plug,131.4,18.6,1966
27,428,American Optical,131.3,6.6,1966
28,429,Flavorland Industries,130.5,1.5,1966
29,430,Fibreboard,130.2,5.1,1966
30,431,Chicago Pneumatic Tool,130.2,15.6,1966
31,432,Handy & Harman,130.0,1.8,1966
32,433,Endicott Johnson,129.5,1.4,1966
33,434,Cabot,129.2,7.9,1966
34,435,Canada Dry,128.6,5.4,1966
35,436,Wm. Wrigley Jr.,128.6,13.1,1966
36,437,Bliss (E.W.),128.0,4.1,1966
37,438,MacMillan,127.3,9.3,1966
38,439,Bucyrus-Erie,126.6,12.8,1966
39,440,American Biltrite Rubber,126.3,4.3,1966
40,441,Insilco,126.2,7.0,1966
41,442,Harris,126.2,9.0,1966
42,443,International Pipe & Ceramics,126.1,6.4,1966
43,444,U.S. Industries,126.0,5.6,1966
44,445,Warwick Electronics,125.6,2.7,1966
45,446,Great Western Sugar,125.5,9.4,1966
46,447,Collins & Aikman,125.5,5.0,1966
47,448,Roper,125.4,4.5,1966
48,449,"U.S. Smelting, Refining & Mining",125.2,7.2,1966
49,450,Miehle-Goss-Dexter,125.0,4.9,1966
50,451,Certainteed,124.9,5.6,1966
51,452,Harbison-Walker Refractories,124.7,13.4,1966
52,453,Robertson-Ceco,124.7,5.8,1966
53,454,Howmet,124.3,4.3,1966
54,455,Gardner-Denver,123.3,15.0,1966
55,456,Hobart,123.1,10.3,1966
56,457,Morton International,123.0,6.7,1966
57,458,Reichhold Chemicals,122.9,3.5,1966
58,459,Curtis Publishing,122.7,11.0,1966
59,460,Beech Aircraft,122.5,5.5,1966
60,461,Hoover Universal,121.8,7.1,1966
61,462,Colorado Milling & Elevator,121.2,1.3,1966
62,463,Air Products & Chem.,121.1,7.4,1966
63,464,Commonwealth Oil Refining,121.1,14.2,1966
64,465,Wagner Electric,120.9,4.0,1966
65,466,Maytag,120.8,15.2,1966
66,467,Standard Pressed Steel,120.4,3.8,1966
67,468,Olivetti Underwood,120.3,1.2,1966
68,469,Trans Union,120.1,14.7,1966
69,470,Black & Decker,119.6,11.4,1966
70,471,Farmers Union Central Exchange,118.9,8.7,1966
71,472,Rheingold,118.2,4.3,1966
72,473,Federal Pacific Electric,117.6,3.5,1966
73,474,Coastal,117.6,14.3,1966
74,475,Schering-Plough,117.6,14.3,1966
75,476,Carpenter Technology,117.4,11.1,1966
76,477,Cooper Industries,117.4,7.0,1966
77,478,Ceco Industries,116.9,4.3,1966
78,479,Dorr-Oliver,116.8,2.0,1966
79,480,Clevite,116.2,9.7,1966
80,481,Green Giant,115.7,3.1,1966
81,482,Fairchild Industries,115.5,3.5,1966
82,483,U.S. Shoe,114.5,6.4,1966
83,484,Warner & Swasey,113.9,11.1,1966
84,485,Brockway,113.5,4.7,1966
85,486,Hanes,113.5,9.0,1966
86,487,Northwestern Steel & Wire,113.1,7.6,1966
87,488,Joy Global,113.1,3.7,1966
88,489,Blue Bell,112.9,4.5,1966
89,490,Mead Johnson,112.9,5.9,1966
90,491,Wyandotte Chemicals,112.5,2.3,1966
91,492,Electrolux,111.6,9.4,1966
92,493,Great Northern Paper,111.4,8.6,1966
93,494,Bunker Ramo,111.2,3.7,1966
94,495,AMP,110.9,12.4,1966
95,496,Pitney Bowes,110.6,9.6,1966
96,497,Signode,110.4,7.9,1966
97,498,Reeves Brothers,110.4,5.5,1966
98,499,Detroit Steel,109.9,4.7,1966
99,500,Island Creek Coal,109.6,7.2,1966
0,1,General Motors,20208.5,1793.4,1967
1,2,Ford Motor,12240.0,621.0,1967
2,3,Exxon Mobil,12191.4,1090.9,1967
3,4,General Electric,7177.3,338.9,1967
4,5,Chrysler,5649.5,189.2,1967
5,6,Mobil,5253.9,356.1,1967
6,7,Texaco,4427.3,709.9,1967
7,8,U.S. Steel,4355.4,249.2,1967
8,9,Intl. Business Machines,4247.7,526.1,1967
9,10,Gulf Oil,3781.8,504.8,1967
10,11,AT&T Technologies,3623.6,173.1,1967
11,12,DuPont,3185.1,389.1,1967
12,13,Esmark,2970.5,4.8,1967
13,14,Shell Oil,2789.8,255.2,1967
14,15,Amoco,2708.5,255.9,1967
15,16,ChevronTexaco,2698.3,424.0,1967
16,17,Bethlehem Steel,2669.4,170.9,1967
17,18,Navistar International,2583.0,109.7,1967
18,19,CBS,2581.4,119.7,1967
19,20,RCA,2548.8,132.4,1967
20,21,Goodyear Tire & Rubber,2475.7,118.5,1967
21,22,General Telephone & Electronics,2390.5,205.1,1967
22,23,Boeing,2356.6,76.1,1967
23,24,Armour,2280.3,2.2,1967
24,25,Kraft,2251.7,73.5,1967
25,26,Procter & Gamble,2243.2,149.4,1967
26,27,Union Carbide,2224.0,231.0,1967
27,28,ITT Industries,2121.3,89.9,1967
28,29,Lockheed Martin,2084.8,58.9,1967
29,30,Rockwell Automation,2023.8,48.6,1967
30,31,Firestone Tire & Rubber,1814.6,101.8,1967
31,32,General Dynamics,1797.0,58.4,1967
32,33,Conoco,1749.1,156.9,1967
33,34,Eastman Kodak,1741.7,318.2,1967
34,35,ConocoPhillips,1686.0,151.6,1967
35,36,United Technologies,1663.2,46.5,1967
36,37,Monsanto,1611.9,112.3,1967
37,38,General Foods,1554.7,93.9,1967
38,39,Borden Chemical,1545.5,57.7,1967
39,40,Caterpillar,1524.0,150.1,1967
40,41,International Paper,1450.1,105.2,1967
41,42,Sinclair Oil,1377.1,94.3,1967
42,43,Alcoa,1373.0,106.1,1967
43,44,Burlington Industries Equity,1371.6,77.1,1967
44,45,American Can,1369.7,71.6,1967
45,46,Unocal,1364.5,142.2,1967
46,47,Republic Steel,1359.8,93.7,1967
47,48,Continental Group,1339.2,70.9,1967
48,49,Uniroyal,1320.8,45.3,1967
49,50,Dow Chemical,1309.7,121.7,1967
50,51,Citgo Petroleum,1296.0,141.8,1967
51,52,Sperry,1279.8,31.9,1967
52,53,Sealed Air,1278.7,69.5,1967
53,54,Honeywell Intl.,1245.6,89.2,1967
54,55,Anaconda,1234.6,132.4,1967
55,56,ARMCO,1224.6,86.7,1967
56,57,Litton Industries,1172.2,55.6,1967
57,58,Tenneco Automotive,1164.3,108.1,1967
58,59,Ralston Purina,1154.0,44.9,1967
59,60,3M,1152.6,138.5,1967
60,61,Textron,1132.2,43.9,1967
61,62,Olin,1117.1,66.7,1967
62,63,Nabisco Group Holdings,1094.6,137.9,1967
63,64,Atlantic Richfield,1093.9,113.5,1967
64,65,Deere,1062.1,78.7,1967
65,66,McDonnell Douglas,1060.0,43.2,1967
66,67,Grumman,1059.4,27.6,1967
67,68,Ryerson Tull,1054.5,68.1,1967
68,69,Bendix,1051.5,38.7,1967
69,70,National Intergroup,1050.5,71.9,1967
70,71,Singer,1049.2,47.3,1967
71,72,Bestfoods,1048.4,58.8,1967
72,73,Douglas Aircraft,1048.0,-27.6,1967
73,74,Sunoco,1047.3,100.6,1967
74,75,Goodrich,1039.1,48.6,1967
75,76,Champion International,1029.5,43.3,1967
76,77,Celanese,1019.9,66.7,1967
77,78,Jones & Laughlin Steel,1010.0,65.1,1967
78,79,FMC,1009.7,62.9,1967
79,80,GenCorp,1001.5,50.2,1967
80,81,Wilson,990.9,12.9,1967
81,82,Coca-Cola,979.2,89.0,1967
82,83,American Cyanamid,952.6,94.4,1967
83,84,PPG Industries,941.7,49.5,1967
84,85,Colgate-Palmolive,931.6,30.5,1967
85,86,Fortune Brands,918.7,86.0,1967
86,87,Honeywell,914.4,45.3,1967
87,88,BorgWarner,913.0,47.2,1967
88,89,Wyeth,909.6,93.8,1967
89,90,Owens-Illinois,908.0,54.2,1967
90,91,NCR,871.3,27.2,1967
91,92,American Motors,870.4,-12.6,1967
92,93,TRW,863.9,35.2,1967
93,94,Allis-Chalmers,857.2,26.2,1967
94,95,Signal Companies,848.0,32.2,1967
95,96,Reynolds Metals,839.4,64.2,1967
96,97,Weyerhaeuser,837.8,79.2,1967
97,98,Carnation,812.9,28.0,1967
98,99,Morrell (John),811.6,1.9,1967
99,100,J.P. Stevens,805.3,32.7,1967
0,101,Beatrice,796.4,24.6,1967
1,102,Eaton,795.6,51.4,1967
2,103,Kaisertech,781.6,58.9,1967
3,104,White Motor,778.7,32.1,1967
4,105,NL Industries,778.1,58.8,1967
5,106,Campbell Soup,771.4,53.0,1967
6,107,Pullman,768.2,26.1,1967
7,108,Crown Zellerbach,766.2,53.7,1967
8,109,Youngstown Sheet & Tube,761.7,42.8,1967
9,110,Genesco,759.6,22.4,1967
10,111,Kennecott,739.7,125.4,1967
11,112,Nabisco Brands,719.6,40.8,1967
12,113,Raytheon,709.0,18.4,1967
13,114,Whirlpool,704.8,36.2,1967
14,115,St. Regis,700.1,38.7,1967
15,116,Ashland,699.3,42.9,1967
16,117,Tidewater Oil,695.7,176.9,1967
17,118,Motorola,682.4,33.0,1967
18,119,Standard Brands,674.5,27.4,1967
19,120,Martin Marietta,669.8,37.0,1967
20,121,Georgia-Pacific,659.0,50.3,1967
21,122,Asarco,653.8,70.2,1967
22,123,Rockwell-Standard,636.2,41.5,1967
23,124,Mead,633.3,27.1,1967
24,125,Zenith Electronics,625.0,43.5,1967
25,126,Kimberly-Clark,622.5,38.7,1967
26,127,Marathon Oil,621.8,68.8,1967
27,128,Pfizer,621.7,61.6,1967
28,129,H.J. Heinz,620.3,20.3,1967
29,130,Ogden,612.3,11.7,1967
30,131,Hercules,610.0,52.3,1967
31,132,Kaiser Industries,609.5,20.1,1967
32,133,PepsiCo,604.7,38.0,1967
33,134,Avco,604.2,32.0,1967
34,135,United Merchants & Mfrs.,600.5,24.1,1967
35,136,Continental Baking,589.5,11.3,1967
36,137,BP America,588.8,56.9,1967
37,138,Texas Instruments,580.3,34.0,1967
38,139,AMAX,572.6,65.6,1967
39,140,American Standard,569.0,10.3,1967
40,141,Babcock & Wilcox,561.6,33.0,1967
41,142,Combustion Engineering,558.7,17.3,1967
42,143,Phelps Dodge,554.0,82.2,1967
43,144,Quantum Chemical,539.4,40.7,1967
44,145,Xerox,528.3,79.8,1967
45,146,Sunray DX Oil,525.3,44.8,1967
46,147,General Mills,524.7,23.3,1967
47,148,Central Soya,519.9,14.5,1967
48,149,Manville,512.5,38.0,1967
49,150,Norton Simon,503.6,14.4,1967
50,151,Pet,503.1,37.3,1967
51,152,Altria Group,502.4,34.2,1967
52,153,Quaker Oats,498.4,17.6,1967
53,154,Clark Equipment,493.9,28.2,1967
54,155,Hormel Foods,491.7,3.5,1967
55,156,Scott Paper,490.7,44.6,1967
56,157,Unisys,489.7,31.0,1967
57,158,OfficeMax,489.2,17.0,1967
58,159,Johnson & Johnson,485.9,36.2,1967
59,160,Dart Industries,484.0,27.1,1967
60,161,Anheuser-Busch,479.3,32.3,1967
61,162,Del Monte Foods,479.0,23.5,1967
62,163,Ingersoll-Rand,476.0,51.7,1967
63,164,Hygrade Food Products,474.0,-5.8,1967
64,165,Pillsbury,470.0,11.7,1967
65,166,Furniture Brands Intl.,469.1,14.6,1967
66,167,Bristol-Myers Squibb,468.5,39.4,1967
67,168,LTV,468.3,13.7,1967
68,169,Budd,465.8,25.0,1967
69,170,Agway,462.2,3.9,1967
70,171,Container Corp. of America,460.4,34.2,1967
71,172,McGraw-Edison,456.8,28.1,1967
72,173,Magnavox,455.7,34.7,1967
73,174,Dana,453.5,33.6,1967
74,175,Warner-Lambert,452.5,43.2,1967
75,176,Amstar,452.2,14.0,1967
76,177,Corning,444.1,54.2,1967
77,178,General Precision Equipment,440.4,20.5,1967
78,179,Lever Brothers,434.2,6.5,1967
79,180,Koppers,430.0,11.4,1967
80,181,Kellogg,426.7,38.5,1967
81,182,Iowa Beef Processors,426.4,3.0,1967
82,183,Walter Industries,423.3,41.3,1967
83,184,BOC,423.0,28.8,1967
84,185,Merck,418.4,75.9,1967
85,186,Sterling Drug,417.3,40.4,1967
86,187,AMF,416.1,21.9,1967
87,188,Admiral,414.6,10.0,1967
88,189,Mack Trucks,411.8,13.7,1967
89,190,Avon Products,408.2,55.3,1967
90,191,Crane,405.9,11.3,1967
91,192,Dresser Industries,401.0,23.1,1967
92,193,Carrier,399.6,21.6,1967
93,194,Gillette,396.2,49.9,1967
94,195,IPL,393.0,0.3,1967
95,196,Timken,392.9,48.5,1967
96,197,Foremost Dairies,390.9,12.5,1967
97,198,GK Technologies,390.3,31.2,1967
98,199,Otis Elevator,390.0,7.1,1967
99,200,J.E. Seagram,389.0,19.3,1967
0,201,Armstrong Holdings,388.8,31.3,1967
1,202,Collins Radio,388.2,7.7,1967
2,203,Sherwin-Williams,386.1,20.9,1967
3,204,Ethyl,384.2,29.2,1967
4,205,Cerro,383.1,44.1,1967
5,206,Allegheny International,380.8,25.1,1967
6,207,Studebaker-Worthington,376.0,14.5,1967
7,208,Essex International,375.3,24.5,1967
8,209,Owens Corning,373.7,21.9,1967
9,210,GATX,372.3,29.3,1967
10,211,Rohm & Haas,371.2,35.5,1967
11,212,Diamond International,368.5,29.0,1967
12,213,Liggett Group,368.4,22.3,1967
13,214,Oscar Mayer,368.1,9.1,1967
14,215,Eli Lilly,366.7,49.8,1967
15,216,Cudahy,365.8,1.0,1967
16,217,Kaiser Steel,365.2,18.0,1967
17,218,Archer Daniels Midland,361.5,4.9,1967
18,219,Stauffer Chemical,360.4,32.6,1967
19,220,Westvaco,360.4,22.9,1967
20,221,Hess Oil & Chemical,359.6,15.5,1967
21,222,Eltra,357.9,18.2,1967
22,223,Northrop Grumman,357.3,10.5,1967
23,224,Intl. Multifoods,353.5,4.6,1967
24,225,WestPoint Stevens,352.0,21.7,1967
25,226,Glidden,351.9,12.4,1967
26,227,Revere Copper & Brass,351.5,22.1,1967
27,228,Fruehauf,348.9,33.0,1967
28,229,Emerson Electric,348.0,26.4,1967
29,230,Brunswick,344.6,3.1,1967
30,231,Midland-Ross,344.1,17.6,1967
31,232,Kerr-McGee,340.8,26.7,1967
32,233,Paccar,332.8,18.1,1967
33,234,Skelly Oil,332.4,53.2,1967
34,235,Cummins,331.1,16.3,1967
35,236,Philadelphia & Reading,327.8,19.1,1967
36,237,AM International,327.1,26.6,1967
37,238,Case,326.7,17.3,1967
38,239,Grinnell,324.5,16.6,1967
39,240,ACF Industries,323.2,24.9,1967
40,241,Union Camp,323.0,29.6,1967
41,242,Scovill,321.8,13.2,1967
42,243,Polaroid,320.3,48.0,1967
43,244,Crucible Steel,319.7,12.4,1967
44,245,A.O. Smith,318.4,8.7,1967
45,246,"Libby, McNeill & Libby",317.6,4.0,1967
46,247,Gulf & Western Industries,317.5,20.1,1967
47,248,Farmland Industries,315.8,21.5,1967
48,249,Ryan Aeronautical,313.0,6.2,1967
49,250,Lorillard,311.7,29.3,1967
50,251,Norton,310.5,18.8,1967
51,252,North American Philips,309.6,13.5,1967
52,253,Westinghouse Air Brake,309.6,16.8,1967
53,254,Squibb,308.8,21.1,1967
54,255,McGraw-Hill,307.6,28.6,1967
55,256,Sunbeam/Oster,306.8,19.3,1967
56,257,Foster Wheeler,304.6,4.0,1967
57,258,Kayser-Roth,304.4,12.4,1967
58,259,Flintkote,303.9,12.4,1967
59,260,M. Lowenstein,300.9,7.9,1967
60,261,Brown Shoe,300.6,17.1,1967
61,262,Imcera Group,299.3,24.6,1967
62,263,Rath Packing,295.8,-11.3,1967
63,264,H.K. Porter,295.0,7.4,1967
64,265,Wheeling Pittsburgh,293.2,-7.8,1967
65,266,Tecumseh Products,291.7,13.7,1967
66,267,Castle & Cooke,291.2,9.7,1967
67,268,USG,291.2,29.5,1967
68,269,Cannon Mills,290.5,20.5,1967
69,270,GAF,290.1,16.1,1967
70,271,Engelhard Industries,288.6,8.8,1967
71,272,Hooker Chemical,284.1,25.8,1967
72,273,Cone Mills,284.0,12.4,1967
73,274,Land O'Lakes,283.1,8.5,1967
74,275,Kelsey-Hayes,282.1,10.4,1967
75,276,American Bakeries,281.6,3.5,1967
76,277,Dan River,281.4,15.3,1967
77,278,Inmont,280.7,15.4,1967
78,279,Evans Products,280.6,5.3,1967
79,280,Crown Holdings,279.8,16.7,1967
80,281,Abex,277.4,12.8,1967
81,282,Jos. Schlitz Brewing,275.1,17.3,1967
82,283,Kidde,273.7,8.0,1967
83,284,Interlake,268.8,16.5,1967
84,285,Revlon,268.3,18.0,1967
85,286,Di Giorgio,267.3,1.8,1967
86,287,Abbott Laboratories,265.8,26.7,1967
87,288,Cluett Peabody,265.6,10.1,1967
88,289,Aeroquip-Vickers,265.4,35.2,1967
89,290,Hoover,259.6,14.9,1967
90,291,Hammermill Paper,259.4,12.2,1967
91,292,Pharmacia,257.6,36.3,1967
92,293,Teledyne,256.8,12.0,1967
93,294,Campbell Taggart,256.1,8.3,1967
94,295,Potlatch,255.4,11.2,1967
95,296,Newport News Shipbuilding,254.1,5.5,1967
96,297,National Gypsum,253.0,16.8,1967
97,298,Times Mirror,252.7,18.5,1967
98,299,Staley Continental,252.1,10.8,1967
99,300,US Pharmaceuticals,251.4,41.3,1967
0,301,USM,250.7,14.7,1967
1,302,Blaw-Knox,250.2,7.9,1967
2,303,Springs Industries,248.9,18.0,1967
3,304,R.R. Donnelley & Sons,247.9,20.7,1967
4,305,Richardson-Vicks,247.8,24.2,1967
5,306,Cincinnati Milacron,247.3,14.8,1967
6,307,Bemis,245.2,6.5,1967
7,308,Link-Belt,244.9,12.1,1967
8,309,Lear Siegler,244.0,8.1,1967
9,310,Federal-Mogul,241.1,17.0,1967
10,311,Safety-Kleen,240.6,10.7,1967
11,312,Coltec Industries,240.1,6.9,1967
12,313,"Parke, Davis",239.9,31.8,1967
13,314,Ex-Cell-O,239.4,19.9,1967
14,315,CF&I Steel,235.3,15.6,1967
15,316,Chemetron,235.2,16.1,1967
16,317,Peabody Coal,233.9,26.3,1967
17,318,Maxus Energy,233.0,19.0,1967
18,319,Stanley Works,230.6,11.3,1967
19,320,Carborundum,230.6,15.3,1967
20,321,ESB,230.0,11.6,1967
21,322,Bell & Howell,230.0,9.4,1967
22,323,Fairchild Camera & Instrument,228.0,12.3,1967
23,324,Schenley Industries,225.9,20.5,1967
24,325,Hershey Foods,225.7,25.0,1967
25,326,Stokely-Van Camp,225.7,6.9,1967
26,327,Indian Head,225.5,5.3,1967
27,328,Cotton Producers Association,225.3,7.1,1967
28,329,McLouth Steel,225.0,15.8,1967
29,330,Stanley Warner,224.1,8.9,1967
30,331,CBI Industries,223.2,12.0,1967
31,332,Pennwalt Corp,222.5,12.7,1967
32,333,Ward Foods,213.8,3.3,1967
33,334,Brown,212.7,3.8,1967
34,335,Outboard Marine,212.5,15.7,1967
35,336,Cutler-Hammer,211.8,10.3,1967
36,337,Fairchild Industries,210.0,7.0,1967
37,338,Emhart,209.3,13.9,1967
38,339,Rockwell Manufacturing,206.8,13.5,1967
39,340,Thiokol,204.4,7.6,1967
40,341,Hewlett-Packard,203.3,17.4,1967
41,342,Amsted Industries,203.0,13.8,1967
42,343,Cessna Aircraft,202.1,13.9,1967
43,344,Pabst Brewing,201.5,15.3,1967
44,345,Akzona,201.3,19.2,1967
45,346,Fairmont Foods,199.8,4.6,1967
46,347,Lone Star Industries,198.5,14.8,1967
47,348,Harsco,197.4,17.3,1967
48,349,Rohr,197.3,6.2,1967
49,350,Murphy Oil,196.9,8.4,1967
50,351,Square D,195.9,25.7,1967
51,352,Witco,195.9,9.3,1967
52,353,Cyclops Industries,195.6,9.3,1967
53,354,Hupp,195.4,1.3,1967
54,355,Gerber Products,195.2,14.2,1967
55,356,McCall,194.6,6.6,1967
56,357,Eastern Gas & Fuel Associates,194.1,14.8,1967
57,358,Sharon Steel,193.9,4.5,1967
58,359,Thomas J. Lipton,193.0,12.7,1967
59,360,Interstate Brands,191.9,4.0,1967
60,361,Household Manufacturing,191.4,11.1,1967
61,362,Amerada Hess,191.0,74.9,1967
62,363,American Chain & Cable,190.4,11.0,1967
63,364,Anchor Hocking,188.7,11.5,1967
64,365,Trane,187.8,13.3,1967
65,366,Mohasco,186.5,4.8,1967
66,367,Jonathan Logan,185.4,10.0,1967
67,368,Simmons,184.8,7.1,1967
68,369,Ruberoid,183.8,3.7,1967
69,370,Hartmarx,183.8,10.1,1967
70,371,Heublein,183.4,12.8,1967
71,372,Beaunit,181.9,7.9,1967
72,373,Universal American,181.6,2.7,1967
73,374,Koehring,180.6,10.4,1967
74,375,Kendall,180.5,9.0,1967
75,376,Pittsburgh Steel,179.2,4.0,1967
76,377,Allied Mills,179.1,5.0,1967
77,378,Kern County Land,175.7,22.7,1967
78,379,Purex Industries,175.2,7.4,1967
79,380,FINA,174.7,8.3,1967
80,381,New York Times,172.9,9.4,1967
81,382,Studebaker,172.9,16.5,1967
82,383,Fieldcrest Cannon,171.4,8.3,1967
83,384,Stewart-Warner,171.3,12.3,1967
84,385,ITT Rayonier,171.2,20.3,1967
85,386,Eagle-Picher Industries,170.9,7.4,1967
86,387,Harris,170.0,11.6,1967
87,388,Joy Technologies,169.4,11.7,1967
88,389,U.S. Shoe,169.2,8.6,1967
89,390,Coastal,169.1,16.8,1967
90,391,I-T-E Imperial,169.0,9.6,1967
91,392,Ampex,168.9,8.5,1967
92,393,Falstaff Brewing,168.1,4.4,1967
93,394,Control Data,167.6,-1.9,1967
94,395,National Can,167.3,5.7,1967
95,396,Miles Laboratories,165.9,8.5,1967
96,397,Houdaille Industries,165.5,9.1,1967
97,398,U.S. Pipe & Foundry,165.4,7.2,1967
98,399,Certainteed,165.4,4.2,1967
99,400,Apogent Technologies,165.2,10.5,1967
0,401,Kellwood,165.0,4.3,1967
1,402,Roper,165.0,4.8,1967
2,403,Beech Aircraft,164.6,8.8,1967
3,404,Time Warner,163.8,6.9,1967
4,405,Handy & Harman,163.1,2.9,1967
5,406,Calumet & Hecia,162.0,6.8,1967
6,407,White Consolidated Industries,161.8,14.4,1967
7,408,Commonwealth Oil Refining,161.0,20.0,1967
8,409,Dean Foods,160.4,1.8,1967
9,410,Armstrong Rubber,160.0,6.4,1967
10,411,Rexnord,159.6,10.1,1967
11,412,Granite City Steel,159.2,10.4,1967
12,413,Howmet,158.2,10.4,1967
13,414,Bliss (E.W.),157.7,6.1,1967
14,415,Pacolet Industries,157.6,3.2,1967
15,416,Chesebrough-Pond's,157.2,12.6,1967
16,417,Rheem Manufacturing,156.8,7.2,1967
17,418,Maremont,155.3,5.2,1967
18,419,Inland Container,154.8,9.9,1967
19,420,Vulcan Materials,154.6,12.0,1967
20,421,Keebler,153.8,2.0,1967
21,422,Collins & Aikman,153.7,6.9,1967
22,423,Warwick Electronics,153.4,3.5,1967
23,424,Champion Spark Plug,153.3,20.9,1967
24,425,U.S. Industries,153.0,8.0,1967
25,426,Woodward Iron,152.5,9.7,1967
26,427,Bunker Ramo,152.4,5.8,1967
27,428,Grolier,152.4,10.2,1967
28,429,National Union Electric,151.0,6.6,1967
29,430,Chicago Pneumatic Tool,150.9,18.4,1967
30,431,Premcor,150.6,9.6,1967
31,432,Arvin Industries,150.2,6.1,1967
32,433,Joy Global,149.6,6.0,1967
33,434,Gardner-Denver,149.2,19.9,1967
34,435,Canada Dry,149.1,4.4,1967
35,436,MacMillan,148.9,17.8,1967
36,437,American Optical,148.8,10.1,1967
37,438,Rheingold,148.4,5.1,1967
38,439,Air Products & Chem.,146.9,9.2,1967
39,440,Black & Decker,146.8,13.3,1967
40,441,Insilco,146.7,8.5,1967
41,442,Riegel Paper,146.6,7.9,1967
42,443,Western Publishing Group,146.5,6.9,1967
43,444,Warnaco Group,145.8,3.5,1967
44,445,Olivetti Underwood,145.6,3.7,1967
45,446,Cooper Industries,145.4,12.6,1967
46,447,Endicott Johnson,145.4,3.0,1967
47,448,Varian Associates,145.2,8.5,1967
48,449,Cowles Communications,145.1,4.6,1967
49,450,St. Joseph Lead,145.1,22.7,1967
50,451,Cabot,145.1,12.2,1967
51,452,Curtiss-Wright,144.1,9.4,1967
52,453,Hanna Mining,143.7,18.5,1967
53,454,Freeport Sulphur,143.6,32.2,1967
54,455,Phillips-Van Heusen,143.3,4.3,1967
55,456,Standard Pressed Steel,143.2,6.4,1967
56,457,Standard Packaging,143.2,1.2,1967
57,458,Fibreboard,143.0,4.8,1967
58,459,Robertson-Ceco,142.9,7.8,1967
59,460,Riegel Textile,142.4,7.4,1967
60,461,Hobart,142.1,12.3,1967
61,462,AMP,141.8,15.0,1967
62,463,Flavorland Industries,141.5,0.7,1967
63,464,Keystone Consolidated Industries,141.5,3.8,1967
64,465,Sprague Electric,141.5,8.8,1967
65,466,Wm. Wrigley Jr.,140.4,14.7,1967
66,467,Consolidated Cigar,140.2,8.9,1967
67,468,Green Giant,139.5,4.6,1967
68,469,"U.S. Smelting, Refining & Mining",139.1,12.9,1967
69,470,General Host,139.0,1.5,1967
70,471,Hoerner Waldorf,139.0,11.1,1967
71,472,Ceco Industries,138.5,6.0,1967
72,473,Federal Pacific Electric,138.3,4.6,1967
73,474,Carpenter Technology,137.6,14.9,1967
74,475,Blue Bell,137.1,5.7,1967
75,476,Lukens Steel,137.1,8.2,1967
76,477,Farmers Union Central Exchange,136.9,10.8,1967
77,478,Reichhold Chemicals,136.7,5.7,1967
78,479,Ideal Basic Industries,136.1,13.9,1967
79,480,Bucyrus-Erie,135.9,14.3,1967
80,481,Warner & Swasey,135.5,12.3,1967
81,482,Island Creek Coal,135.2,7.5,1967
82,483,Harbison-Walker Refractories,135.2,11.8,1967
83,484,Hoover Universal,134.4,9.0,1967
